Name,Org Type 1,Org Type 2,Org Type 3,Org Type 4,Org Type 5,Org Type 6,Primary eMail,Website,Telephones,Main Address,Main Address State,Registered Address,Registered Address State,Contact 1 Name,Contact 1 Designation,Contact 1 eMail,Contact 1 Telephones,Contact 2 Name,Contact 2 Designation,Contact 2 eMail,Contact 2 Telephones,Brief Information,Year of Establishment,GuideStar Url
BUNYAAD FOUNDATION,Direct Service,Grant-making,Network,Support,,,,www.bunyaadfoundation.in,"911169666692,911169666692","34-A, First floor, Malviya Business Center,Corner market, malviya nagar,New Delhi,South Delhi,Delhi,110017",Delhi,"13 A, Circular road, Gujjar Nagar,Jammu,Jammu and Kashmir,180001",Jammu and Kashmir,,,,,,,,,"Bunyaad Foundation came into being with a clear mandate of reaching out to the underprivileged rural and urban youth and inculcate in them a spirit of reaching heights with whatever resources they have. Our aim is to help rural youth have that escape velocity which causes them to escape the gravitational pull that holds them back and the tendency to believe that achieving heights is not our cup of tea but of the elite and the belief that all worldly comforts are meant for the elite, we are here to break this myth.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9142
CARE HAIR CHARITABLE FOUNDATION,Support,,,,,,,www.carehairindia.org,"919310032137,919810032137","F-18, Street No. 31,Mahendra Park, Adarsh Nagar,New Delhi,Central Delhi,Delhi,110033",Delhi,"A-285, New Ranjit Nagar,New Delhi,Central Delhi,Delhi,110008",Delhi,Dr. Kusum Kumari,Treasurer,cashchugh@gmail.com,91-9810032137,,,,,"Care Hair Charitable Foundation is a non-profit, non-racial,non-political and non-religious organization based in New Delhi, dedicated toawareness of hygienic & healthy hair, delivering free haircut, hair care,and providing hair prevention & control, among the underprivileged, poor,physically handicapped, down syndrome, indigent children andelderly population of India.  Care HairIndia also endeavors to expertise people of the community focusing mainly poor, underprivileged, and  physically handicapped girls/women, bydeveloping their hand-on skills through special training programs on Beauty andMake-up courses. This provide them an opportunity to build their career in thisfield.",2012,http://www.guidestarindia.org/Summary.aspx?CCReg=9133
Chhattisgarh Om Sai Nath Education and Social Welfare Society,Direct Service,Grant-making,Network,Support,,,,http://www.omsainatheducation.com,919755466572,"Shivaji Nagar, Titurdih, Durg,Durg,Chhattisgarh,491001",Chhattisgarh,,,Manoj Kumar Sahu,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9103
CITIZENS ASSOCIATION FOR CHILD RIGHTS,Direct Service,,,,,,,"http://www,ngocacr.com","919987598509,919821112418","1, Prabhav Society,2nd road, TPS III, Santa Cruz (E),Mumbai,Maharashtra,400055",Maharashtra,,,,,,,,,,,"We are pleased to introduce our NGO Citizens Association for Child Rights(CACR), registered in July 2013 as a Section 25 non profit, which is working with MCGM Education Department to help in improving quality of education and healthcare for children in municipal schools in Mumbai.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9161
COMMON PEOPLE SOCIAL FOUNDATION,Advocacy & Campaigning,Direct Service,Support,,,,,,"918408804859,919987911855","Shop No.4&5, Prabhavati Complex,,Kumbharpada, Main Road,,Virar East,Thane,Maharashtra,401305",Maharashtra,"S.No.68/3, C.T.S,. No., 705 –A, (A-103, Avinash Sanmarg. ),90 Feet Road,  Mulund (East).,Mumbai,Mumbai Suburban,Maharashtra,400081",Maharashtra,,,,,,,,,"CPS Foundation is the non-governmental organization working to provide quality life to the underprivileged women in tribal & slum area of India. Our mission is to ensure ""Every person should enhance the skill & earn for themselves.CPSF locate the marginalized and low-income women in India can find opportunities to gain social and economic empowerment to help alleviate their hardships. The working environment at CPSF supports their growth and enrichment by undertaking to equip them with new craft-based skills that serve to give them sustainable means of employment. By helping them to help themselves, these women can develop much-needed self-confidence and independence. Our programs include basic tailoring cutting, stitching, & embroidery.  CPS Foundation is moving from being a women empowering organization to one which successfully impacts policy and practice.  Key highlights of the beginning of the year include:• Improving the life skill and life style of the women• Improving enrollment and learning levels of Women in tribal areas• Assessment, Survey, Evaluation and Research• We have achieved our target to complete 2 batches  since we started from December 2016.We  recently started FOOD FOR ALL PROGRAM - Serving people on roadside, outside of temples & dargahs.  We served full meals (Chapati, Sabji,Rice,Dal,Sweet & Papad) 4000+ people in the year 2017. We also started the clothe distribution drive to the needy people. So far we have give away 100+ pairs of clothes to the people.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9162
DAMIEN FOUNDATION INDIA TRUST,Direct Service,Intermediary,Network,Support,,,,www.damienfoundation.in,"914428360496,914428360496","14, (old No.27), Venugopal Avenue, Spur Tank Road,,Chetpet,Chennai,Tamil Nadu,600031",Tamil Nadu,,,Dr.M.Shivakumar,,,,Dr.M.Shivakumar,Secretary,shivakumar@damienfoundation.in,"91-44-28361910,91-9789964309","Damien Foundation India Trust (DFIT) is a charitable Non-Governmental Organisation working for Leprosy and TB Control Activities in India,  supported by Damien Foundation Belgium. It offers Leprosy and TB related services either directly through its own projects or through local NGO projects. It is also involved in strengthening Leprosy and TB Control Programmes of the Government through activities like capacity building. The organisation started its chapter of leprosy control activities in South India in 1955, TB control in 1996. Our focus : Prevent occurrence of Leprosy and tuberculosis through Education, provide effective treatment and deformity correction surgeries for those affected, provide support for their social acceptance.",1992,http://www.guidestarindia.org/Summary.aspx?CCReg=9160
DEEP VIDHYA MANDIR SAMITI,Direct Service,,,,,,,,"911427224782,911427224782","Gayatri Nagar, Agra Road, Dausa,Dausa,Rajasthan,303303",Rajasthan,,,Nawal Kishor Bhankari,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9141
DINDIGUL DISTRICT H.I.V. POSITIVE SOCIETY (DDS+),Advocacy & Campaigning,Direct Service,Support,,,,,www.dglhivpositive.weebly.com,"914512421981,914512421981","9/27, New Agraharam Street,Ram Petrol Bunk Backside, Palani Road,Dindigul,Tamil Nadu,624001",Tamil Nadu,,,,,,,,,,,"Dindigul District HIV Positive Soicety is a non-profit organization, (registration No: 6/2004) formed by, of and for People living with HIV/AIDS. The vision of organization is to improve the quality of life of people living with HIV/AIDS in Dindigul district. Totally 5748 persons living with HIV/AIDS registered in our organization.",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=9122
Don Bosco Balprafulta,Direct Service,,,,,,,http://www.donboscobalprafulta.org,"912224163346,912224163346","Don Bosco Youth Services Building, 203 / 204, 2Nd Floor, Don Bosco School Campus,,Opp. Khalsa College, Matunga (East),,Mumbai,Maharashtra,400019",Maharashtra,,,Fr. Gregory Almedia,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9059
DRREAM SOCIAL FOUNDATION,Direct Service,Support,,,,,,http://dreamsocialfoundation.org/,919422504164,"Flat No. 502,  Florencia Bldg,,'G'' Lane South Main Road, Opp.Shahu Modak Udyan, Koregaon Park,,Pune,Maharashtra,411001",Maharashtra,,,Mayuraj Deshamukh,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9113
Durgapur Krishti Foundation,Support,,,,,,,,+919748839296,"Village+Post: Amrai, Madrasa Road ,,P.S: Durgapur,,Bardhaman,West Bengal,713203",West Bengal,,,Sadek Ali,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9101
EARTH MATTERS CHARITABLE TRUST,Direct Service,,,,,,,www.earthmatters.co.in,"918214288028,918214288028","No.165, Ground floor, Sahukar Channaiah Road,,Opp Brahmasthana Kalyana Mantapa, T K Layout,,Mysore,Mysuru (Mysore),Karnataka,570009",Karnataka,,,Jagadish M C,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9127
FLORENCE HOME FOUNDATION,Advocacy & Campaigning,Direct Service,Grant-making,Network,Support,,,http://fhfloveandcare.wixsite.com/website,919003766312,"6 Muthukumaran Street Pudupalayam Cuddalore,Cuddalore,Tamil Nadu,607001",Tamil Nadu,,,,,,,,,,,"Florence Home Foundation (FHF) was established  by a group of committed and experienced social workers. The goal was to empower the poor to know more to have more to do more for their development in the society. It’s a non-sectarian, non-political and non-governmental voluntary social service organization.         FHF is a developing organization with more than 20 key members are working in the range of activities like children hostels, supplementary education for school going children in slum area,  health programme in village level, organic farming for income generation and environmental activities like tree planting and nursery raising.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9124
GEO CLUB INTERNATIONAL VIKAS SAMITI,Direct Service,Support,,,,,,,919829224313,"WAQT Shop No. 2 Mody Arcad Chopasani Road,Jodhpur,Rajasthan,342003",Rajasthan,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9136
GIMAT EDUCATION AND RURAL DEVELOPMENT SOCIETY,Advocacy & Campaigning,Grant-making,Support,,,,,http://www.geards.org,919414077456,"27 NEW COLINY,NEAR KHATIPURA RAILWAY OVERBRIDGE,JHOTWARA ROAD, JAIPUR,Jaipur,Rajasthan,302012",Rajasthan,,,Mahendra Singh Solanki,,,,,,,,"Gimat Education & Rural Development Society is a social service organization, formed and became registered under Rajasthan Societies Registration Act 1958 during the year 1996-97 by qualified youth and progressive social activists of Rajasthan. The NGO has thought to influence positive social change and development with justice for all. The strategic steps of NGO is aiming to bridge the distance between people by providing opportunities to individuals for integrated development through an exchange of ideas, knowledge, skills and learning by facilitating volunteering in social development sector.Since the inception of NGO, it became a fact after a group of people felt that there was a requirement for more volunteering initiatives in develo",1997,http://www.guidestarindia.org/Summary.aspx?CCReg=9139
GNANADEEPAM TRUST,Direct Service,Grant-making,Support,,,,,www.gdtrust.in,919443834344,"1029-6 South street,Viralimalai ,Viralimalai-Taluk,Pudukottai-District,Pudukkottai,Tamil Nadu,621316",Tamil Nadu,,,Palanikathirvel,,,,,,,,"Gnanadeepam Trust (GDT) is a registered non-profit trust under the Indian Trust Act. The Reg.No.isBK4/114/2007 dated 20-09-2007. It is also registered under Foreign Contribution (Regulation) Act 1970 and it’s FCRA No.076050130, dated 12-03-2014.  GDT has also been registered with National Planning Commission and Central Social Welfare Board, Govt. of India and the unique ID Nos. are TN/2011/0047154 and TN/00010376 respectively. The vision of the Trust is ‘to improve the quality of life of the poorest of the poor and enable them to lead a healthy sustainable livelihood.’The Mission of the Trust is ‘Empowering the poorest of the poor and developing them on self-sufficiency and sustainable measures.’To realize our vision and mission Gnanadeep",2007,http://www.guidestarindia.org/Summary.aspx?CCReg=9120
Gobardanga Haidadpur Ashar Alo Seba Samity,Direct Service,,,,,,,www.asharalosebasamityworld.webs.com,918972790681,"Gobardanga Haidadpur,Gobardanga,North 24 Parganas,West Bengal,743245",West Bengal,,,,,,,,,,,"Gobardanga Haidadpur Ashar Alo Seba Samity is located in Gobardanga, West Bengal.",2014,http://www.guidestarindia.org/Summary.aspx?CCReg=9088
GRAMIN VIKAS SEVASHARAM,Advocacy & Campaigning,Direct Service,Support,,,,,,919794972868,"Madhopur,Baraut , Allahabad,Allahabad,Uttar Pradesh,221502",Uttar Pradesh,,,,,,,,,,,"Grameen Vikas Sevashram is voluntary organisation working  for child labor ,woman empowerment,rural development ,Environment awareness,cultural activities,organic farming etc.in Uttar Pradesh ,india .",1982,http://www.guidestarindia.org/Summary.aspx?CCReg=9097
I- kiran FOUNDATION CHARATABLE TRUST,Direct Service,Support,,,,,,www.ikiranfoundation.com,919621481609,"0079, Chargawan, P.O Shahpur Tahsil,Chargawan,Sahapur Sadar,Gorakhpur,Uttar Pradesh,273013",Uttar Pradesh,,,Manish Jaiswal,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9151
International Noblework Development and Investigation Association,Direct Service,Support,,,,,,www.indiango.org.in,919438036171,"At - Nua Sahi, Polasara Road , PO - Buguda,,Ganjam,Odisha,761118",Odisha,"At - Badua, PO - Golia, Via - Buguda,,Ganjam,Odisha,761118",Odisha,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9145
Jamtala Human Development Society,Direct Service,,,,,,,jhds.org.in,919775020912,"Vill- Jamtala,P.O.-Jamtala,24 Parganas (South),South 24 Parganas,West Bengal,743348",West Bengal,,,Palash Kumar Mondal,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9150
JAN NIRMAN KENDRA,Support,,,,,,,http://www.jnkindia.ngo,918002111668,"New Police Line Chowk,Jay Ram Nagar,Kolhua Paigambarpur,Muzaffarpur,Bihar,843108",Bihar,,,Rakesh Kumar Singh,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9135
Jan Samaj Kalyan Samiti,Direct Service,,,,,,,,+919810911568,"1441/1 Gondni Street Kalan Mahal Darya Ganj New Delhi,New DELHI,Central Delhi,Delhi,110002",Delhi,"RZ 2677 A/28 Tughlakabad Extn,New Delhi,South Delhi,Delhi,110019",Delhi,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9128
JAN SIKSHA VIKAS SAMAJ SEVA SANSTHAN,Direct Service,Support,,,,,,,"919950503359,917014000757","Genius Computer Edu.Centre,Joshi Market Station Road,Hindaun City,Karauli,Rajasthan,322230",Rajasthan,,,,,,,,,,,"Jan Siksha Vikas Samaj Seva Sansthan is located in Karauli, Rajasthan.",2010,http://www.guidestarindia.org/Summary.aspx?CCReg=9168
JEEVAN DHARA SANSTHAN KOLASAR,Direct Service,,,,,,,,917742221668,"Vill. Kolasar Bikaner,Bikaner,Rajasthan,334001",Rajasthan,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9166
KAY-CEE CONSULTANCY COUNCIL (KCCC),Direct Service,Grant-making,Support,,,,,,919716292575,"Krishna Complex 52C, 1ST FLOOR,HASANPUR VILLAGE,PATPARGANJ,East Delhi,Delhi,110092",Delhi,,,,,,,,,,,"KAYCEE CONSULTANCY COUNCIL  works in the areas of health and education targeting people from economically depressed segments of the society. We are dedicated to uplift the children, families and communities by tackling the root cause of injustice and poverty. We serve all, regardless of religion, ethnicity, race or gender.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9125
KEOLADEV RESEARCH FOUNDATION SANSTHAN,Advocacy & Campaigning,Direct Service,Support,,,,,,"915644225186,915644225186","65, Rose Villa, Rajendra Nagar,Bharatpur,Rajasthan,321001",Rajasthan,,,Rakesh Fauzdar,,,,,,,,"Keoladev Research Foundation Sansthan is located in Bharatpur, Rajasthan.",1993,http://www.guidestarindia.org/Summary.aspx?CCReg=9164
LATE SHRI MANGI LAL VISHNOI TECHNICAL EDUCATION AND CHARITABLE SOCIETY BHILWARA,Network,Support,,,,,,www.mlvtecs.com,917891290000,"MLVTECS, 1 To 6, Jambheshwar Complex, Gandhi Nagar,Pur Road, Hotel Amar Palace,Bhilwara,Rajasthan,311001",Rajasthan,"339, Near Jambheshwar Complex, Gandhi Nagar,,Bhilwara,Rajasthan,311001",Rajasthan,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9138
LET THE SPIRIT MOVE,Direct Service,Support,,,,,,www.letdspiritmove.org,0119999627260,"18/117 Dda Flat Ambedka Nagar,Dakshinpuri New Delhi,Dr.Ambedka Nagar  Dakshinpuri,South Delhi,Delhi,110062",Delhi,,,Erick Seraphin,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9086
Lokshakti Samaj Sevi Sanstha,Direct Service,Support,,,,,,www.lokshakticg.org,"917882216502,917882216502","21/391, Hanuman Nagar,Titurdih,Durg,Chhattisgarh,491001",Chhattisgarh,,,Mr. Raju Samson,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9115
Mandesh Foundation Pune,Advocacy & Campaigning,Direct Service,,,,,,www.mandeshfoundation.org,"919011010344,919970094100","A. K. Jagtap, P-24, Krishna Keval Nagar, NIBM Road,,Behind Jyoti Hotel, Kondhwa (Kh),Pune,Maharashtra,411048",Maharashtra,,,Ashok Mane,,,,,,,,"Mandesh Foundation had been formed in year 2008 with the objective of improving standard of life of people of draught prone area of Western Maharashtra, through human resource development program (like skill development, workshops for competitive exams, residence camps for police and army recruitment), health improvement programs (Free checkup and treatment camps. free eye check up and spectacle distribution program, free cataract identification and operations etc), educational programs, sports programs etc.",2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9100
Mokimpur Bandhu Sangha,Advocacy & Campaigning,Direct Service,Support,,,,,,"918895860959,917504043156","Vill:Mokimpur, P.O:South Bishnupur, P.S:Mandirbazar,Mokimpur,South 24 Parganas,West Bengal,743395",West Bengal,,,,,,,,,,,"Mokimpur Bandhu Sangha was established in december 2008 for the portection and development of poor, blind, chieldrens and ti help them in all types of difficult circumstances.It is registered under West Bengal Society Registration Act 1961, Registration No:S/1L/56628. Our mission is to provide quallity and affordable service both preventive and curative to the people suffering from eye ailments and make sincere efforts to sensitize all concerned to participate and contribute in elimenating avoidable blindness with special care to poor, neglected, women and children.",2008,http://www.guidestarindia.org/Summary.aspx?CCReg=9131
National Association for the Blind Lucknow District,Advocacy & Campaigning,Grant-making,Support,,,,,www.nablucknow.in,919322731446,"1710 Ist Floor,Lekhraj Dollar Near fire station Indira Nagar,Lunknow,Lucknow,Uttar Pradesh,226016",Uttar Pradesh,,,,,,,,,,,"The National Association for the Blind Lucknow UP State Branch is one of the Voluntary Organisation for the blind and other disability in Lucknow and its adjoining rural areas founded in 1989. The National Association for the Blind Lucknow has the experience of initiating and successfully running home based and community based rehabilitation projects in different districts of the state, through its networking with Government, eye hospitals and agencies working for other disabilities, health departments, hospitals and agencies.The National Association for the Blind are playing prominent/important role in promoting inclusive education for Visually Impaired and other disabled students. These all children with disabilities stay with famalies",28,http://www.guidestarindia.org/Summary.aspx?CCReg=9119
"National H.R.D Network, Ahmedabad",Direct Service,,,,,,,https://www.nationalhrd.org,"911244217171,911244217171","C-81C, DLF Super Mart 1,DLF City, Phase IV,Gurugram,Haryana,122002",Haryana,"40, Cosmo Vila Satyagrah Chhavani Road, Satellite,Ahmedabad,Gujarat,380015",Gujarat,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9157
NATIONAL ORGANISATION FOR SOCIAL EMPOWERMENT,Support,,,,,,,http://www.nationalngo.org,919599187545,"Ta 204,1St Floor ,Ravidas Marg,Tughlakabad Extn,,Near Hanuman Temple,New Delhi,South Delhi,Delhi,110019",Delhi,"H-106,Sant  Nagar Extention 2nd floor,Tilak Nagar,New Delhi,West Delhi,Delhi,110058",Delhi,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9093
OM SEWA PRATISTHAN SANSTHAN,Direct Service,,,,,,,,"919829076733,911416548819,919887768571,919314103935","Care of Chandrakala Jasu,19/227,In Front Ramkaran Karkhana,Ngaadkhana Darwaja,Chaube Pada,,Karauli,Rajasthan,0",Rajasthan,"C/O Chandrakala Jasu,19/227,In Front Ramkaran Karkhana,Ngaadkhana Darwaja,Chaube Pada,,Karauli,Rajasthan,322241",Rajasthan,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9117
ORGANIZING FOR THE FUTURE SOCIETY,Direct Service,,,,,,,http://organizingforthefuture.org,919618963305,"1-1-7/24, Ashok Colony,Near Vijaya High School,Kapra, Hyderabad,Rangareddy,Telangana,500062",Telangana,"# 3-148/1, Plot No 42, Maruthi Nagar,,Narsimha Reddy Nagar,,Malkajgiri, Hyderabad,Hyderabad,Telangana,500047",Telangana,Vamsi CS Machiraju,,,,,,,,"Organizing for the future is a not for profit tax exempted change organization. We work at the grass-roots level to represent people problems. We are committed for the development of women and children. Helping low income women with the means to create their own economic security has been at the centre of our mission.We are organizing women empowerment workshops in low-income areas to develop them at individual level, family level and community level. One of our other program is to create knowledgeable, skilled and trained parents to handle the school issues effectively and demand for quality education for their childrenReached out closely 4 thousand people in low income areas in Kapra HyderabadTrained more than 700 hundred women and started a non-profit Social Enterprise to create work opportunities.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9132
Princess Diya Kumari Foundation Society,Direct Service,Support,,,,,,www.princessdiyakumarifoundation.org,919828948789,"Badal Mahal, Near Govind Dev Ji Temple,Kanwar Nagar, Jaipur,Jaipur,Rajasthan,302002",Rajasthan,,,Diya Kumari,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9092
Pt Hargovind Management and Research Society,Support,,,,,,,,919453235771,"40,Narayanpur, Tarun,Tarun,Faizabad,Uttar Pradesh,224203",Uttar Pradesh,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9126
